pacc,rt,accumulator
1,0.221,2
2,0.246,1
3,0.262,1
4,0.249,1
5,0.221,2
6,0.26,1
7,0.478,1
8,0.431,2
9,0.485,1
10,0.506,1
11,0.573,1
12,0.503,1
13,0.456,1
14,0.528,1
13,0.788,1
12,0.61,1
11,0.653,2
10,1,1
9,0.58,1
8,0.725,1
7,0.582,1
6,0.372,2
5,0.415,2
4,0.232,1
3,0.373,1
2,0.372,2
1,0.516,1
0,0.185,1
0,0.233,1
1,0.226,1
2,0.257,2
3,0.282,1
4,0.267,1
5,0.214,1
6,0.233,1
7,0.458,1
8,0.232,1
9,0.361,1
10,0.673,1
11,0.717,1
12,0.633,1
13,1.34,1
12,0.579,1
11,0.607,1
10,0.467,1
9,0.448,1
8,0.497,1
7,1.027,1
6,0.591,1
5,0.226,1
4,0.21,1
3,0.227,1
2,0.388,2
1,0.2,2
2,0.229,2
3,0.245,2
4,0.2,1
5,0.221,1
6,0.271,1
7,0.223,1
8,0.264,1
9,0.251,1
10,0.492,1
11,0.592,1
12,0.464,1
13,0.659,1
14,0.67,1
13,0.553,1
12,0.579,1
11,0.689,1
10,0.716,1
9,1.057,1
8,0.617,1
7,0.403,1
6,0.615,1
5,0.554,1
4,0.627,2
3,0.31,2
2,0.331,1
1,0.263,2
0,0.41,2
0,0.251,1
0,0.229,1
1,0.266,2
2,0.216,2
3,0.316,2
4,0.27,1
5,0.226,2
6,0.317,2
7,0.669,1
8,0.595,1
9,0.985,1
10,0.701,1
11,0.62,1
12,0.496,1
11,1.014,1
10,0.465,1
9,0.496,1
8,0.713,1
7,0.58,1
6,0.469,1
5,0.535,1
4,0.814,1
3,0.961,1
2,0.294,1
1,0.409,2
0,0.224,2
0,0.286,2
0,0.25,2
0,0.295,2
1,0.228,1
2,0.271,2
3,0.237,2
4,0.217,1
5,0.309,2
6,0.438,1
7,0.575,1
8,0.456,1
9,0.582,1
10,0.966,1
11,0.568,1
10,0.461,2
9,0.649,1
8,0.521,1
7,1.031,1
6,0.715,1
5,0.229,2
4,0.27,1
3,0.281,2
2,0.244,1
0,0.751,1
0,0.207,1
0,0.236,2
0,0.213,1
0,0.221,1
0,0.218,1
1,0.385,2
2,0.299,2
3,0.233,2
4,0.225,2
5,0.244,2
6,0.237,1
7,0.284,1
8,0.299,1
9,0.247,1
10,0.223,2
11,0.497,1
12,0.507,1
13,0.523,2
14,0.537,1
15,0.755,1
16,0.58,2
17,0.535,1
18,0.853,1
19,0.812,1
20,1.026,1
21,0.63,1
22,0.59,1
21,0.573,1
20,0.603,1
19,0.551,1
18,0.513,1
17,0.694,1
16,0.513,1
15,0.487,1
14,0.388,1
13,0.474,1
12,0.562,1
11,0.679,1
10,0.752,1
9,0.441,2
8,0.505,1
7,0.585,1
6,0.591,1
5,0.366,1
4,0.218,1
3,0.303,2
2,0.24,2
1,0.306,1
2,0.249,1
3,0.28,1
4,0.276,2
5,0.207,1
6,0.242,1
7,0.326,1
8,0.217,2
9,0.612,2
10,0.763,1
11,0.525,1
12,0.607,1
13,1.069,1
14,0.578,1
15,0.532,1
14,0.509,1
13,0.691,1
12,0.46,2
11,0.73,1
10,1.029,1
9,0.816,1
8,0.286,2
7,0.278,2
6,0.242,2
5,0.243,1
4,0.228,2
3,0.229,1
4,0.235,1
5,0.242,2
6,0.268,1
7,0.241,1
8,0.278,2
9,0.887,1
10,0.454,1
11,0.599,1
12,0.636,1
13,0.45,1
14,0.533,2
13,0.544,1
12,0.497,1
11,0.519,1
10,0.487,1
9,0.421,1
8,0.405,2
7,0.732,1
6,0.601,1
5,0.849,1
4,0.221,2
3,0.224,1
2,0.225,1
1,0.303,2
0,0.325,1
0,0.284,2
1,0.362,2
2,0.228,1
3,0.185,1
4,0.273,2
5,0.26,1
6,0.246,2
7,0.215,2
8,0.792,1
9,0.438,1
10,0.487,1
11,0.862,2
12,0.554,1
13,0.652,1
14,0.59,1
15,1.041,1
16,0.843,1
17,0.908,1
16,0.58,1
15,0.597,1
14,0.603,1
13,0.536,1
12,0.85,1
11,0.511,1
10,0.643,1
9,0.51,1
8,0.542,1
7,0.587,1
6,0.743,1
5,0.632,1
4,0.224,2
3,0.239,1
2,0.245,1
1,0.225,2
0,0.571,1
0,0.201,1
0,0.186,2
0,0.243,2
0,0.232,2
0,0.414,1
1,0.355,1
2,0.21,2
3,0.242,1
4,0.242,1
5,0.235,2
6,0.367,1
7,0.241,1
8,0.239,2
9,0.232,2
10,0.203,2
11,0.52,2
12,0.529,1
13,0.568,1
14,0.621,1
15,0.534,1
16,0.553,1
17,0.583,1
16,0.43,1
15,0.751,1
14,0.538,1
13,0.526,1
12,0.451,1
11,0.495,1
10,0.519,2
9,0.264,2
8,0.197,2
7,0.243,2
6,0.23,2
7,0.187,2
8,0.209,1
9,0.229,2
10,0.195,1
11,0.287,1
12,0.22,2
13,0.539,1
14,0.414,1
15,0.484,1
16,0.493,1
17,0.634,1
18,0.516,1
17,0.533,1
16,0.518,1
15,0.642,1
14,0.572,1
13,0.537,1
12,0.566,2
11,0.62,1
10,0.615,1
9,0.513,1
8,0.502,1
7,0.527,1
