pacc,rt,accumulator
0,0.238,2
1,0.22,2
2,0.177,2
3,0.426,1
4,0.395,1
5,0.434,1
6,0.357,2
7,0.377,1
8,0.329,1
9,0.386,1
10,0.323,1
11,0.319,2
12,0.384,1
13,0.453,1
14,0.51,2
15,0.361,2
16,0.537,1
17,0.407,1
18,0.349,1
19,0.552,1
20,0.683,1
21,0.683,1
20,0.562,1
19,0.52,1
18,0.469,1
17,0.489,1
16,0.499,1
15,0.518,1
14,0.636,1
13,0.317,1
12,0.436,1
11,0.44,1
10,0.515,1
9,0.513,1
8,0.461,2
7,0.521,1
6,0.593,1
5,0.459,1
4,0.467,1
3,0.287,1
2,0.254,1
1,0.232,1
0,0.241,1
0,0.225,2
0,0.243,2
0,0.225,2
0,0.24,2
0,0.404,2
0,0.349,2
0,0.206,1
1,0.226,2
2,0.264,2
3,0.222,2
4,0.214,2
5,0.457,1
6,0.268,2
7,0.428,1
8,0.515,1
9,0.441,1
10,0.513,1
11,0.554,2
12,0.552,2
13,0.691,2
14,0.388,1
15,0.594,1
16,0.537,1
17,0.723,1
18,0.659,1
19,0.757,1
18,0.638,1
17,0.702,1
16,0.593,1
15,0.559,1
14,0.639,1
13,0.684,1
12,0.533,1
11,0.504,1
10,0.693,1
9,0.477,1
8,0.348,2
7,0.579,1
6,1.087,1
5,0.335,1
4,0.497,1
3,0.534,1
2,0.559,1
1,0.244,2
0,0.254,2
0,0.209,2
0,0.241,2
0,0.264,1
0,0.237,1
1,0.286,2
2,0.237,2
3,0.23,2
4,0.247,2
5,0.487,2
6,0.495,1
7,0.437,1
8,0.562,1
9,0.439,2
10,0.406,1
11,1.024,1
12,0.637,1
13,0.438,1
14,0.379,1
15,0.443,2
14,0.595,1
13,0.6,1
12,0.673,1
11,0.493,1
10,0.433,1
9,0.618,1
8,0.534,1
7,0.56,1
6,0.405,1
5,0.579,1
4,0.221,2
3,0.248,1
2,0.219,1
1,0.247,1
0,0.219,1
0,0.325,2
1,0.236,2
2,0.236,2
3,0.233,1
4,0.265,2
5,0.434,1
6,0.278,1
7,0.252,2
8,0.405,1
9,0.552,1
10,0.536,1
11,0.397,1
12,0.528,1
13,0.49,1
12,0.498,2
11,0.395,1
10,0.411,1
9,0.543,1
8,0.503,1
7,0.267,2
6,0.214,2
5,0.267,2
4,0.222,1
3,0.237,2
4,0.247,1
5,0.195,2
6,0.453,1
7,0.434,2
8,0.518,1
9,0.442,1
10,0.512,1
11,0.458,1
12,0.495,1
13,0.543,1
12,0.497,1
11,0.584,1
10,0.638,1
9,0.427,1
8,0.305,1
7,0.214,1
6,0.27,1
5,0.33,2
4,0.225,2
0,0.283,1
0,0.55,1
0,0.226,2
0,0.215,1
0,0.278,1
0,0.222,1
1,0.244,1
2,0.244,1
3,0.24,1
4,0.235,1
5,0.223,2
6,0.203,2
7,0.477,2
8,0.528,2
9,0.514,1
10,0.571,1
11,0.548,1
12,0.507,1
13,0.586,1
14,0.387,1
13,0.445,1
12,0.561,1
11,0.335,1
10,0.535,1
9,0.42,2
8,0.637,1
7,0.528,1
6,0.398,1
5,0.496,1
4,0.231,2
3,0.237,2
2,0.22,2
1,0.221,1
2,0.229,2
3,0.333,1
4,0.263,2
5,0.335,2
6,0.263,1
7,0.221,2
8,0.258,2
9,0.23,1
10,0.259,2
11,0.526,1
12,0.475,1
13,0.468,1
14,1.647,1
15,0.499,1
16,0.526,1
15,0.542,2
14,0.475,1
13,0.469,1
12,0.556,1
11,0.484,1
10,0.669,1
9,0.604,1
8,0.607,1
7,0.533,1
6,0.441,1
5,0.232,1
4,0.227,1
3,0.225,2
2,0.258,1
3,0.243,1
4,0.224,1
5,0.216,1
6,0.259,1
7,0.22,1
8,0.219,1
9,0.209,1
10,0.213,1
11,0.233,1
12,0.458,1
13,0.473,1
14,0.507,1
15,0.533,1
16,0.497,1
17,0.993,1
16,0.537,2
15,0.544,1
14,0.782,1
13,0.651,1
12,0.45,1
11,0.565,1
10,0.598,1
9,0.538,1
8,0.494,1
7,0.463,1
6,0.209,1
5,0.239,2
4,0.224,2
0,0.916,1
0,0.21,1
0,0.213,2
0,0.207,1
0,0.377,2
0,0.193,2
1,0.214,1
2,0.221,1
3,0.227,1
4,0.265,2
5,0.457,1
6,0.312,1
7,0.234,2
8,0.483,1
9,0.506,1
10,0.353,2
11,0.514,1
12,0.431,1
13,0.47,1
14,0.504,1
15,0.364,1
16,0.445,2
15,0.506,1
14,0.64,1
13,0.513,1
12,0.465,1
11,0.577,1
10,0.525,1
9,0.421,1
8,0.643,1
7,0.641,1
6,0.595,1
5,0.485,2
4,0.221,2
3,0.221,1
2,0.221,1
1,0.227,2
2,0.287,2
3,0.238,2
4,0.228,1
5,0.236,1
6,0.256,2
7,0.479,1
8,0.503,1
9,0.628,1
10,0.667,1
11,0.656,2
12,0.605,1
13,0.571,1
14,0.529,1
15,0.923,1
16,0.533,2
17,0.496,1
18,0.558,1
19,0.5,1
20,0.494,1
21,0.534,1
22,0.511,1
21,0.615,1
20,0.567,1
19,0.658,1
18,0.556,1
17,0.725,1
16,0.538,1
15,0.544,1
14,0.547,1
13,0.431,1
12,0.585,1
11,0.54,1
10,0.566,2
9,1.164,1
8,0.587,1
7,0.49,1
6,0.525,1
5,0.484,1
4,0.568,1
3,0.412,1
2,0.233,1
1,0.229,2
0,0.281,2
0,0.233,2
1,0.248,1
2,0.246,2
3,0.245,1
4,0.278,2
5,0.238,2
6,0.24,1
7,0.391,2
8,0.399,1
9,0.393,1
10,0.352,1
11,0.272,2
12,0.602,1
13,0.543,1
14,0.752,1
15,0.276,2
16,0.812,1
17,0.583,1
18,0.515,1
19,0.476,1
20,0.554,2
21,0.487,1
22,0.648,1
23,0.732,1
24,0.552,1
24,0.812,1
24,0.543,1
23,0.541,1
22,0.608,1
21,0.549,1
20,0.496,1
19,0.524,1
18,0.507,1
17,0.551,1
16,0.545,1
15,0.384,2
14,0.575,1
13,0.479,1
12,0.522,1
11,0.245,2
10,0.222,2
9,0.225,1
8,0.238,2
9,0.225,1
10,0.511,1
11,0.575,1
12,0.566,1
13,0.438,1
14,0.647,1
13,0.598,1
12,0.533,1
11,0.636,1
10,0.58,1
9,0.232,2
8,0.531,1
7,0.281,1
6,0.419,1
5,0.517,1
4,0.577,1
3,0.22,2
2,0.241,2
1,0.36,2
0,0.214,1
0,0.575,1
0,0.205,1
0,0.215,1
0,0.228,1
0,0.223,2
0,0.255,1
1,0.291,1
2,0.231,1
3,0.282,1
4,0.273,2
5,0.651,1
6,0.507,1
7,0.517,1
8,0.457,1
9,0.475,1
10,0.493,1
9,0.496,2
8,0.525,1
7,0.651,1
6,0.559,1
5,0.517,1
4,0.598,1
3,0.244,2
2,0.232,1
1,0.312,1
0,0.246,2
0,0.215,2
1,0.45,2
2,0.218,2
3,0.23,1
4,0.236,1
5,0.247,1
6,0.25,2
7,0.223,2
8,0.206,1
9,0.422,1
10,0.506,1
11,0.485,1
12,0.524,1
13,0.546,1
12,0.555,1
11,0.45,1
10,0.527,1
9,0.677,1
8,0.509,1
7,0.513,1
6,0.517,1
5,0.459,1
4,0.216,2
3,0.225,2
2,0.231,2
1,0.236,2
2,0.281,2
3,0.237,1
4,0.194,2
5,0.213,2
6,0.341,1
7,0.239,1
8,0.238,2
9,0.461,1
10,0.389,1
11,0.659,1
12,0.54,1
13,0.528,2
14,0.566,1
15,0.506,1
16,0.452,1
17,0.655,1
18,0.558,1
19,0.422,1
18,0.51,1
17,0.63,1
16,0.565,1
15,0.535,1
14,0.547,1
13,0.49,1
12,0.557,1
11,1.104,1
10,0.529,1
9,0.503,1
8,0.525,1
7,0.493,1
6,0.464,2
5,0.612,1
4,0.688,1
3,0.254,2
2,0.241,2
1,0.307,2
