pacc,rt,accumulator
0,0.227,1
1,0.22,1
2,0.432,2
3,0.492,1
4,0.312,2
5,0.369,2
6,0.386,1
7,0.467,1
8,0.46,1
9,0.515,2
10,0.624,1
11,0.755,1
12,0.77,1
13,0.927,1
14,0.536,1
15,0.39,1
14,0.671,1
13,0.519,1
12,0.408,1
11,0.601,1
10,0.945,1
9,0.353,1
8,0.59,1
7,0.514,1
6,0.599,1
5,0.531,1
4,0.477,1
3,0.52,1
2,0.466,2
1,0.42,2
0,0.272,2
0,0.361,2
0,0.229,1
0,0.318,1
1,0.447,1
2,0.504,1
3,0.513,1
4,0.569,1
3,0.411,1
2,0.311,1
1,0.485,1
0,0.355,1
0,0.231,1
0,0.264,1
0,0.385,1
1,0.238,2
2,0.578,2
3,0.457,1
4,0.622,1
5,0.726,1
6,0.657,1
7,0.821,1
8,0.615,1
7,0.582,1
6,0.49,1
5,0.488,1
4,0.334,1
3,0.494,1
2,0.565,1
1,0.307,1
0,0.217,1
0,0.294,1
0,0.289,2
0,0.314,1
0,0.221,2
0,0.213,2
0,0.211,1
0,0.224,1
0,0.207,2
1,0.233,2
2,0.299,2
3,0.234,1
4,0.203,1
5,0.23,1
6,0.238,1
7,0.145,1
8,0.317,1
9,0.263,2
10,0.291,2
11,0.403,1
12,0.618,1
13,0.436,1
14,0.59,1
15,0.523,1
16,0.467,1
15,0.681,1
14,0.614,1
13,0.57,1
12,0.601,1
11,0.547,1
10,0.515,1
9,0.469,1
8,0.461,2
7,0.44,1
6,0.597,1
5,0.231,1
4,0.245,2
3,0.292,1
2,0.209,2
1,0.192,1
2,0.235,2
3,0.214,2
4,0.177,1
5,0.216,1
6,0.439,2
7,0.555,1
8,0.427,1
9,0.564,1
10,0.628,1
11,0.378,1
12,0.458,1
11,0.435,1
10,0.569,1
9,0.416,1
8,0.484,1
7,0.476,1
6,0.42,2
5,0.597,1
4,0.5,1
3,0.533,1
2,0.242,1
1,0.303,2
0,0.224,1
0,0.392,2
0,0.265,1
1,0.277,1
2,0.343,2
3,0.223,2
4,0.347,1
5,0.184,1
6,0.216,1
7,0.301,2
8,0.359,2
9,0.338,1
10,0.447,2
11,0.647,1
12,0.519,1
13,0.564,1
14,0.599,1
15,0.424,1
16,0.599,1
15,0.797,1
14,0.683,1
13,0.739,1
12,0.664,1
11,0.566,1
10,0.765,1
9,0.751,1
8,0.607,2
7,0.641,1
6,0.817,1
5,0.564,2
4,0.617,1
3,0.6,1
2,0.603,1
1,0.434,1
0,0.24,1
0,0.252,2
0,0.227,1
0,0.222,1
0,0.246,1
1,0.215,2
2,0.264,1
3,0.148,2
4,0.271,2
5,0.236,1
6,0.315,1
7,0.544,1
8,0.519,1
9,0.56,2
10,0.4,1
11,0.578,1
12,0.423,1
13,0.449,2
14,0.499,1
15,0.974,1
16,0.397,2
17,0.457,1
18,0.272,2
19,0.745,1
20,0.604,1
21,0.571,1
22,0.536,1
23,0.613,1
24,0.579,1
23,0.614,1
22,0.56,1
21,0.582,1
20,0.679,1
19,0.696,2
18,0.729,1
17,0.701,1
16,0.598,1
15,0.561,1
14,0.48,2
13,0.603,1
12,0.534,1
11,0.576,1
10,0.616,1
9,0.691,1
8,0.662,2
7,0.274,2
0,0.611,1
0,0.214,2
0,0.21,2
0,0.17,2
0,0.454,1
0,0.237,2
1,0.229,1
2,0.245,1
3,0.33,1
4,0.235,1
5,0.199,1
6,0.298,1
7,0.242,1
8,0.516,1
9,0.267,2
10,0.473,1
11,0.349,1
12,0.586,1
13,0.67,2
14,0.423,2
15,0.774,1
16,0.691,1
17,0.67,1
18,0.748,1
19,0.57,1
20,0.705,1
19,0.757,1
18,0.583,1
17,0.623,1
16,0.669,1
15,0.657,1
14,0.757,1
13,0.928,1
12,1.052,1
11,0.554,1
10,0.528,1
9,0.275,2
8,0.256,1
7,0.541,1
6,0.54,1
5,0.645,2
4,0.475,1
3,0.405,2
2,0.238,2
1,0.245,1
0,0.234,2
0,0.255,1
1,0.26,2
2,0.435,2
3,0.485,1
4,0.259,1
5,0.395,2
6,0.363,1
7,0.35,2
8,0.468,1
9,0.683,1
10,0.644,1
11,0.51,1
12,0.451,1
13,0.495,1
12,0.571,1
11,0.473,2
10,0.558,1
9,0.633,1
8,0.582,1
7,0.584,1
6,0.63,1
5,0.497,1
4,0.354,1
3,0.223,2
2,0.238,1
1,0.244,2
0,0.245,2
1,0.219,2
2,0.258,1
3,0.258,1
4,0.26,2
5,0.333,1
6,0.24,1
7,0.3,1
8,0.285,2
9,0.462,1
10,0.468,1
11,0.563,1
12,0.625,2
13,0.592,1
14,0.51,1
15,0.5,1
16,0.483,1
17,0.627,1
18,0.483,1
17,0.462,1
16,0.534,1
15,0.455,1
14,0.517,1
13,0.699,1
12,0.65,1
11,0.744,1
10,1.054,1
9,0.543,1
8,0.379,2
7,0.888,2
6,0.246,2
5,0.266,1
4,0.232,2
3,0.232,1
2,0.258,1
1,0.252,2
2,0.388,1
3,0.221,2
4,0.399,1
5,0.229,1
6,0.282,1
7,0.24,2
8,0.227,2
9,0.688,1
10,0.457,1
11,0.386,1
12,0.49,1
13,0.619,1
14,0.45,1
13,0.605,1
12,0.537,1
11,0.539,1
10,0.539,1
9,0.729,1
8,0.47,1
7,0.495,1
6,0.272,2
5,0.214,1
4,0.243,2
