pacc,rt,accumulator
1,0.2292,2
2,0.2832,1
3,0.241,2
4,0.3445,1
5,0.43710000000000004,2
6,0.24180000000000001,1
7,0.3942,1
8,0.32189999999999996,1
9,0.25830000000000003,2
10,0.3024,1
11,0.4059,1
12,0.5174,1
13,0.4818,2
14,0.4501,1
15,0.4547,1
16,0.541,1
17,0.4615,1
18,0.4957,1
17,0.4903,1
16,0.5002,1
15,0.3575,1
14,0.6419,1
13,0.44989999999999997,1
12,0.7114,2
11,0.4602,1
10,0.575,1
9,0.4003,2
8,0.4983,1
7,0.33030000000000004,2
6,0.4768,1
5,0.2386,2
4,0.246,2
3,0.26430000000000003,1
2,0.209,2
1,0.21669999999999998,2
2,0.2612,2
3,0.2447,2
4,0.2117,1
5,0.2105,1
6,0.3876,1
7,0.29810000000000003,2
8,0.48269999999999996,1
9,0.4588,1
10,0.4299,2
11,0.5684,1
12,0.512,1
13,0.5549,1
14,0.5745,1
15,0.5866,1
14,0.5257000000000001,1
13,0.478,1
12,0.5495,1
11,0.6022000000000001,1
10,0.5585,1
9,0.403,2
8,0.4835,1
7,0.34,1
6,0.4035,1
5,0.4235,1
4,0.2748,2
3,0.418,1
2,0.4029,1
1,0.21230000000000002,1
0,0.2353,1
0,0.3334,2
0,0.2294,1
0,0.2625,2
0,0.2071,1
0,0.2394,2
0,0.3437,2
0,0.2211,1
0,0.222,1
0,0.25630000000000003,2
0,0.2107,1
0,0.21619999999999998,1
17,0.4015,1
16,0.49539999999999995,1
15,0.5718,1
14,0.5695,1
13,0.3466,2
12,0.5962000000000001,2
11,0.6277,1
10,0.2742,1
9,0.38089999999999996,1
8,0.2449,1
7,0.26589999999999997,2
6,0.2195,1
5,0.3356,1
4,0.3499,1
3,0.2337,1
2,0.2032,2
1,0.22519999999999998,2
0,0.2754,2
0,0.22440000000000002,2
0,0.26130000000000003,1
0,0.2205,1
0,0.21919999999999998,1
0,0.25889999999999996,2
1,0.2508,2
2,0.2474,2
3,0.39030000000000004,2
4,0.1884,2
5,0.271,1
6,0.31860000000000005,2
7,0.5346000000000001,2
8,0.5492,1
9,0.30569999999999997,1
10,0.3552,2
11,0.7717,1
12,0.4,1
13,0.6416000000000001,1
15,0.7856000000000001,1
14,0.5771000000000001,1
13,0.4888,1
12,0.5615,1
11,0.5725,2
10,0.5828,1
9,0.2777,2
8,0.4051,1
7,0.5102,1
6,0.26739999999999997,1
5,0.2344,2
4,0.255,1
3,0.2464,1
2,0.3355,2
1,0.2159,2
0,0.2059,1
0,0.2139,2
0,0.2512,2
0,0.2322,2
1,0.219,1
2,0.227,2
3,0.355,2
4,0.2596,2
5,0.29710000000000003,1
6,0.22269999999999998,1
7,0.41869999999999996,1
8,0.5241,1
9,0.229,2
10,0.2928,1
11,0.4375,1
12,0.5781000000000001,1
13,0.6002000000000001,1
14,0.5376000000000001,1
15,0.44039999999999996,1
14,0.6548999999999999,1
13,0.6685,1
12,0.6219,1
11,0.6361,2
10,0.425,1
9,0.2363,1
8,0.1936,2
7,0.2398,1
6,0.2214,1
5,0.24380000000000002,1
6,0.2742,2
7,0.4823,1
8,0.303,1
9,0.3675,1
10,0.6267,1
11,0.4502,1
2,0.1891,2
3,0.2076,1
4,0.1966,2
5,0.228,2
6,0.2341,1
7,0.2348,2
8,0.2459,2
9,0.308,1
10,0.38839999999999997,2
11,0.4768,1
12,0.4209,1
13,0.5655,2
14,0.5288999999999999,1
15,0.5478,1
16,0.524,1
17,0.669,1
18,0.4953,1
17,0.4678,1
16,0.5257000000000001,1
15,0.4751,1
14,0.4029,1
13,0.493,1
12,0.3008,1
11,0.2771,1
10,0.3762,1
9,0.2135,2
8,0.1989,1
7,0.22190000000000001,1
6,0.2115,2
5,0.2089,1
6,0.2401,2
7,0.2491,2
8,0.4651,1
9,0.22619999999999998,1
10,0.32289999999999996,1
11,0.32830000000000004,1
12,0.3397,2
13,0.6087,1
14,0.5571,1
15,0.5961000000000001,1
16,0.4918,1
17,0.7817000000000001,1
16,0.4612,1
15,0.5017,1
14,0.4113,1
13,0.526,1
12,0.45080000000000003,1
11,0.49110000000000004,1
10,0.4668,1
9,0.2405,2
8,0.30369999999999997,2
7,0.4293,1
6,0.3518,2
5,0.25660000000000005,1
4,0.209,2
3,0.2505,1
2,0.2046,2
1,0.4164,2
0,0.2091,2
0,0.22069999999999998,1
0,0.22169999999999998,2
0,0.2027,2
0,0.2341,1
1,0.2004,1
2,0.2191,1
3,0.21930000000000002,2
4,0.5055,1
5,0.18819999999999998,2
6,0.219,1
7,0.30269999999999997,1
8,0.3785,1
9,0.44580000000000003,1
10,0.2661,2
11,0.42410000000000003,1
12,0.3532,2
13,0.3638,1
14,0.6137,1
15,0.5854,1
16,0.4641,1
17,0.4102,1
16,0.5598,1
15,0.518,1
14,0.5775,1
13,0.5711,1
12,0.4398,1
11,0.49410000000000004,1
10,0.2337,2
9,0.2384,2
8,0.2306,1
7,0.1489,2
6,0.22540000000000002,2
7,0.213,1
8,0.4402,1
9,0.33080000000000004,1
10,0.2703,1
11,0.5152,1
12,0.259,2
13,0.44430000000000003,1
14,0.38530000000000003,1
15,0.38539999999999996,2
16,0.44739999999999996,1
17,0.37189999999999995,1
18,0.3583,1
19,0.2744,1
20,0.509,1
21,0.6001000000000001,2
22,0.6297,1
23,0.5253,1
24,0.5598,1
24,0.5532999999999999,2
24,0.5672,1
24,0.562,1
24,0.6251,1
24,0.6548999999999999,1
24,0.4457,1
23,0.8187000000000001,1
22,0.6887000000000001,1
21,0.4527,1
20,0.45089999999999997,1
19,0.6143,1
18,0.6538999999999999,1
17,0.5088,1
16,0.6985,1
15,0.4537,1
14,0.45339999999999997,1
13,0.5388,1
12,0.49489999999999995,1
11,0.4209,2
10,0.5619,1
9,0.2395,1
8,0.216,1
7,0.2636,1
6,0.2045,1
5,0.22619999999999998,1
6,0.4182,1
7,0.211,2
8,0.44410000000000005,1
9,0.24880000000000002,2
10,0.3668,1
11,0.3871,1
12,0.5667000000000001,1
13,0.3988,1
14,0.3797,1
13,0.5406,1
12,0.5827,2
11,0.5101,1
10,0.24359999999999998,2
9,0.6556000000000001,1
8,0.1971,1
7,0.19390000000000002,2
6,0.2388,2
5,0.24559999999999998,1
4,0.21719999999999998,1
5,0.2799,2
6,0.22719999999999999,1
7,0.1963,2
8,0.235,1
9,0.26430000000000003,2
10,0.4134,1
11,0.4586,1
12,0.4765,2
13,0.6237,1
14,0.5647000000000001,2
15,0.5472,1
16,0.4618,1
17,0.5977,1
18,0.477,1
19,0.9328,1
18,0.51,1
17,0.4789,1
16,0.4328,1
15,0.6601,1
14,0.4174,1
13,0.4765,2
12,0.4,1
11,0.6403,1
10,0.25980000000000003,2
9,0.2791,1
8,0.2409,2
7,0.2362,1
6,0.2429,1
5,0.2042,2
4,0.214,2
5,0.3492,2
6,0.4042,1
7,0.42010000000000003,1
8,0.2945,1
9,0.3167,2
10,0.4995,1
11,0.5271,1
12,0.4517,1
13,0.354,1
14,0.5043,1
13,0.5687000000000001,1
12,0.4615,1
11,0.4672,2
10,0.38160000000000005,1
9,0.7905,1
8,0.2236,1
7,0.22769999999999999,2
6,0.2512,2
5,0.2547,1
4,0.2733,1
5,0.19140000000000001,1
6,0.366,2
7,0.2546,2
8,0.242,1
9,0.36989999999999995,2
10,0.3533,1
11,0.6106,1
12,0.4446,1
13,0.5586,1
14,0.4745,1
13,0.5472,1
12,0.4737,1
11,0.41910000000000003,1
10,0.32930000000000004,2
9,0.29610000000000003,1
8,0.27,2
7,0.25780000000000003,1
6,0.26580000000000004,2
5,0.2631,1
4,0.2437,1
5,0.22190000000000001,1
6,0.21569999999999998,2
7,0.4855,1
8,0.38489999999999996,2
9,0.2228,2
10,0.2376,1
11,0.25889999999999996,2
12,0.4723,1
13,0.5568,1
14,0.5852,1
15,0.6961,1
16,0.4878,1
8,0.2135,1
9,0.2073,1
10,0.26780000000000004,1
11,0.4048,1
12,0.3964,1
13,0.6042000000000001,1
14,0.3955,1
15,0.4666,2
16,0.758,1
17,0.5852999999999999,1
18,0.4777,1
19,0.5466,1
20,0.5878,1
19,0.4597,1
18,0.4135,1
17,0.6435,1
16,0.4357,1
15,0.42419999999999997,1
14,0.451,1
13,0.6232000000000001,1
12,0.3447,1
11,0.2306,2
10,0.1726,1
9,0.19030000000000002,1
8,0.1846,2
7,0.19490000000000002,1
8,0.2484,2
9,0.2499,2
10,0.4899,1
11,0.2809,2
12,0.4185,2
13,0.7405,1
14,0.4082,1
15,0.4179,1
16,0.6804,1
17,0.4992,1
16,0.5511,1
15,0.8438,1
14,0.5173,1
13,0.3807,1
12,0.548,1
11,0.2744,1
10,0.2773,2
9,0.3053,2
8,0.2328,1
7,0.1485,1
6,0.4708,1
5,0.2284,1
4,0.1995,2
3,0.16290000000000002,2
2,0.2231,1
1,0.2287,2
2,0.21980000000000002,2
3,0.378,1
4,0.22069999999999998,1
5,0.2029,1
6,0.26639999999999997,1
7,0.24180000000000001,2
8,0.2788,2
9,0.22269999999999998,1
10,0.4224,1
11,0.44210000000000005,1
12,0.4164,1
13,0.6115,1
14,0.44830000000000003,1
13,0.4476,1
12,0.2844,2
11,0.5057,1
10,0.6333,1
9,0.282,1
8,0.2709,2
7,0.217,2
6,0.3,2
5,0.31089999999999995,1
4,0.2372,1
3,0.3029,1
2,0.3645,1
1,0.1989,1
0,0.2134,1
0,0.2205,2
0,0.2154,1
0,0.2597,1
2,0.427,1
3,0.2164,1
4,0.21,2
5,0.2925,1
6,0.3735,1
7,0.284,2
8,0.2386,1
9,0.2899,2
10,0.2822,2
11,0.6445,1
12,0.4993,1
13,0.5952999999999999,1
14,0.4332,1
15,0.4785,2
16,0.5073,1
17,0.4021,1
18,0.3513,2
19,0.5111,1
20,0.48410000000000003,1
21,0.49910000000000004,1
22,0.6373,1
23,0.48969999999999997,1
22,0.5306000000000001,1
21,0.4616,1
20,0.3971,1
19,0.4975,1
18,0.8157000000000001,1
17,0.3931,1
16,0.6485,1
15,0.4685,1
14,0.41910000000000003,1
13,0.48669999999999997,1
12,0.2464,2
11,0.3341,2
10,0.5215,1
9,0.30660000000000004,2
8,0.2231,1
7,0.2813,1
6,0.3364,2
5,0.2189,1
4,0.2667,1
3,0.2345,2
2,0.3978,2
1,0.2382,2
0,0.25680000000000003,2
0,0.2083,2
0,0.2548,1
0,0.2292,2
1,0.4048,2
2,0.2434,2
3,0.24109999999999998,2
4,0.43689999999999996,2
5,0.2772,2
6,0.30610000000000004,1
7,0.221,1
8,0.4584,1
9,0.44680000000000003,1
10,0.2641,2
11,0.2879,1
12,0.2749,1
13,0.4487,2
14,0.5057,1
15,0.3668,1
16,0.4953,1
17,0.6507000000000001,1
18,0.4184,1
17,0.261,2
16,0.4536,1
15,0.6017,1
14,0.5549,1
13,0.6332000000000001,1
