pacc,rt,accumulator
1,0.2231,2
2,0.44930000000000003,1
3,0.2616,2
4,0.26839999999999997,2
5,0.2625,2
6,0.4605,1
7,0.255,2
8,0.35619999999999996,1
9,0.44310000000000005,1
10,0.6403,2
11,0.5428,1
12,0.39130000000000004,1
13,0.4992,1
14,0.5515,1
15,0.6715,1
16,0.5186000000000001,1
15,0.3556,2
14,0.49210000000000004,1
13,0.5244,1
12,0.32189999999999996,1
11,0.36660000000000004,1
10,0.2744,2
9,0.2655,1
8,0.2581,2
7,0.2934,1
6,0.2196,1
7,0.2442,1
8,0.2808,1
9,0.41969999999999996,1
10,0.2546,2
11,0.3123,1
12,0.3345,1
13,0.2888,2
14,0.4701,1
15,0.6451,1
16,0.5524,2
17,0.5699,1
18,0.5736,1
19,0.4587,1
20,0.49260000000000004,1
21,0.3782,1
22,0.48910000000000003,1
1,0.4179,1
2,0.225,1
3,0.3482,2
4,0.3415,1
5,0.35869999999999996,1
6,0.49269999999999997,2
7,0.30310000000000004,1
8,0.25789999999999996,2
9,0.2215,2
10,0.257,2
11,0.399,2
12,0.5275,1
13,0.389,2
14,0.6132000000000001,1
15,0.5751000000000001,1
16,0.3477,2
17,0.4298,1
18,0.4759,1
19,0.5042,1
20,0.4455,1
21,0.474,1
22,0.5462,2
23,0.6905,1
24,0.48919999999999997,1
24,0.5726,1
24,0.5602,1
24,0.6373,1
24,0.5425,1
23,0.505,1
22,0.5047,2
21,0.6974,1
20,0.5788,1
19,0.48569999999999997,1
18,0.5276000000000001,1
17,0.6253,1
16,0.4995,1
15,0.5451,1
14,0.733,1
13,0.5825,1
12,0.4809,1
11,0.4003,2
10,0.5142,1
9,0.267,1
8,0.5618,1
7,0.5199,1
6,0.31639999999999996,2
5,0.2476,1
4,0.2015,2
3,0.38980000000000004,1
2,0.2046,2
1,0.2645,2
0,0.26039999999999996,1
0,0.2375,1
0,0.38339999999999996,2
0,0.2313,1
0,0.405,2
0,0.238,1
0,0.26180000000000003,2
0,0.2542,1
0,0.2621,2
0,0.36910000000000004,2
0,0.2405,2
0,0.2601,1
0,0.30660000000000004,2
0,0.248,1
0,0.2353,1
0,0.2694,2
0,0.21009999999999998,1
0,0.284,1
1,0.2196,2
2,0.2635,2
3,0.3285,2
4,0.2923,1
5,0.26839999999999997,2
6,0.4121,2
7,0.2711,1
8,0.2462,2
9,0.2223,2
10,0.21359999999999998,1
11,0.2635,1
12,0.2518,1
13,0.498,1
14,0.5995,1
15,0.4332,1
16,0.29569999999999996,1
17,0.6245,1
18,0.43339999999999995,1
19,0.5528,2
20,0.6,1
21,0.6247999999999999,1
22,0.5799,2
23,0.6413,1
24,0.5084,1
24,0.6392,1
24,0.5758,1
24,0.5103,1
24,0.444,1
23,0.44880000000000003,1
22,0.5822,1
21,0.7807999999999999,1
20,0.6154,1
19,0.6754,1
18,0.5531,1
17,0.5658,1
16,0.5577000000000001,1
15,0.7221000000000001,1
14,0.5234,1
13,0.3644,2
12,0.7564,2
11,0.4698,1
10,0.38139999999999996,1
9,0.3157,2
8,0.2814,2
7,0.2339,2
6,0.412,1
5,0.2886,2
4,0.22340000000000002,1
3,0.2797,1
2,0.3137,2
1,0.2544,1
0,0.424,1
21,0.5802999999999999,1
20,0.4997,1
19,0.42260000000000003,1
18,0.4859,2
17,0.5926,1
16,0.48669999999999997,1
15,0.8137000000000001,1
14,0.65,1
13,0.7207,1
12,0.5886,1
11,0.32430000000000003,1
10,0.6219,1
9,0.3958,2
8,0.2196,1
7,0.2548,2
6,0.2191,1
5,0.2486,2
4,0.276,1
5,0.2706,2
6,0.3122,2
7,0.2397,1
8,0.24630000000000002,1
9,0.2078,1
10,0.2998,1
11,0.3491,1
12,0.277,2
13,0.48869999999999997,1
14,0.6167999999999999,1
15,0.538,1
16,0.5155,1
17,0.581,1
18,0.5548,1
17,0.4806,1
16,0.6357,1
15,0.3364,1
14,0.395,2
13,0.6106,1
12,0.3735,1
11,0.44930000000000003,2
10,0.3832,1
9,0.4923,1
8,0.3337,1
7,0.3265,2
6,0.2965,1
5,0.2338,1
4,0.2929,1
3,0.254,2
2,0.4038,2
1,0.225,1
0,0.2364,1
0,0.21980000000000002,2
0,0.2452,1
0,0.2742,1
1,0.2592,1
2,0.22,1
3,0.3231,2
4,0.2655,1
5,0.3324,1
6,0.31889999999999996,2
7,0.1993,1
8,0.2445,1
9,0.2469,1
10,0.2516,1
11,0.24559999999999998,2
12,0.2109,1
13,0.25680000000000003,2
14,0.3877,1
15,0.4462,1
16,0.4905,1
17,0.37889999999999996,2
18,0.3504,1
19,0.4838,1
20,0.4968,1
21,0.8022,1
22,0.5502,1
23,0.45,1
22,0.5451,1
21,0.601,2
20,0.5415,1
19,0.3881,1
18,0.6149,1
17,0.5749,1
16,0.5367999999999999,2
15,0.6966,1
14,0.6492,1
13,0.31160000000000004,2
12,0.4647,1
11,0.38110000000000005,1
10,0.3738,2
9,0.6777000000000001,1
8,0.3548,1
7,0.2577,2
6,0.3547,1
5,0.2464,2
4,0.2376,1
3,0.3835,2
2,0.2447,2
1,0.3329,2
0,0.3232,1
0,0.25989999999999996,1
0,0.2425,2
0,0.2452,1
0,0.2885,1
0,0.2343,2
1,0.2309,1
2,0.3404,2
3,0.2263,2
4,0.3987,1
5,0.44160000000000005,1
6,0.2635,1
7,0.231,2
8,0.26480000000000004,1
9,0.2705,2
10,0.2556,2
11,0.32739999999999997,1
12,0.31239999999999996,2
13,0.5641,1
14,0.5443,1
15,0.5137,1
16,0.38239999999999996,1
17,0.5019,1
18,0.5997,1
17,0.429,1
16,0.48769999999999997,1
15,0.5458999999999999,1
14,0.6191,1
13,0.36619999999999997,1
12,0.7866000000000001,1
11,0.2719,1
10,0.2476,2
9,0.2575,1
8,0.5067,1
7,0.2517,1
6,0.2424,1
5,0.5696,2
4,0.2236,1
3,0.2251,2
2,0.22440000000000002,1
1,0.30369999999999997,1
0,0.2582,2
0,0.25739999999999996,2
0,0.2536,2
0,0.2189,1
0,0.24459999999999998,2
1,0.2415,1
2,0.31839999999999996,1
3,0.1941,2
4,0.282,1
5,0.3613,2
6,0.1994,2
7,0.3013,2
8,0.2738,2
9,0.3252,1
10,0.3485,2
11,0.2631,1
12,0.2768,2
13,0.30589999999999995,2
14,0.6472,1
15,0.578,1
16,0.7212999999999999,1
17,0.4703,1
18,0.4978,2
19,0.4888,1
20,0.5438999999999999,1
21,0.4713,1
22,0.4761,1
