pacc,rt,accumulator
3,0.24880000000000002,1
4,0.2879,1
5,0.2298,2
6,0.284,1
7,0.2645,2
8,0.2777,1
9,0.4721,1
10,0.3206,1
11,0.3271,2
12,0.3192,2
13,0.25639999999999996,1
14,0.4245,1
15,0.293,1
16,0.4161,2
17,0.6379,1
18,0.5401,1
19,0.3825,1
20,0.6498999999999999,1
21,0.5173,1
20,0.3907,2
19,0.559,1
18,0.537,1
17,0.4145,2
16,0.63,1
15,0.6069,1
14,0.5802999999999999,2
13,0.4703,2
12,0.5431,1
11,0.2502,1
10,0.339,2
9,0.251,2
8,0.3688,1
7,0.2602,2
6,0.32530000000000003,1
5,0.2491,1
4,0.2582,2
3,0.2537,1
2,0.2587,2
1,0.2865,2
2,0.26230000000000003,2
3,0.22769999999999999,1
4,0.2364,1
5,0.3533,1
6,0.2455,2
7,0.21430000000000002,1
8,0.2731,1
9,0.2175,1
10,0.233,1
11,0.43810000000000004,2
12,0.2666,2
13,0.38480000000000003,2
14,0.5481,1
15,0.44480000000000003,1
16,0.2522,2
17,0.5707000000000001,1
18,0.5466,1
19,0.35910000000000003,1
20,0.3363,1
21,0.5121,1
20,0.6163,1
19,0.4044,2
18,0.4024,1
17,0.4688,1
16,0.4793,1
15,0.476,1
14,0.4152,2
13,0.6866,1
12,0.3178,2
11,0.6008,1
10,0.3389,1
9,0.24980000000000002,2
8,0.2007,2
7,0.4362,1
6,0.4654,2
5,0.29660000000000003,2
4,0.635,1
3,0.4963,2
2,0.2397,1
1,0.2536,2
0,0.4688,1
0,0.21,1
0,0.2597,1
0,0.2097,2
0,0.298,1
0,0.2775,1
1,0.2844,2
2,0.4179,1
3,0.2223,2
4,0.2558,1
5,0.26439999999999997,1
6,0.29,2
7,0.4045,1
8,0.4193,1
9,0.4128,2
10,0.2554,2
11,0.2135,2
12,0.2094,1
13,0.3444,2
14,0.5781000000000001,1
15,0.4574,1
16,0.3842,1
17,0.2553,2
18,0.449,2
19,0.5152,1
20,0.4259,2
21,0.3182,1
22,0.49489999999999995,1
23,0.4134,2
24,0.8049,1
24,0.45480000000000004,2
