pacc,rt,accumulator
23,0.9114,1
22,0.7306,1
19,0.7505,1
17,0.7361,1
16,0.7931,1
15,0.5044,1
14,0.7347,1
13,0.6623,2
12,0.8022999999999999,1
11,0.6383,1
10,0.5468999999999999,1
9,0.7541,2
8,0.6344,2
6,0.4332,1
5,0.5217,1
4,0.4566,2
3,0.17959999999999998,2
2,0.1913,1
1,0.1754,1
0,0.1997,2
0,0.21130000000000002,2
1,0.1787,1
2,0.18580000000000002,1
3,0.1664,1
4,0.30989999999999995,1
5,0.409,1
6,0.3735,2
7,0.3782,2
8,0.6051,1
9,0.4933,1
10,0.5535,1
11,0.7382000000000001,2
12,0.6857000000000001,2
13,0.6919,1
15,0.6152000000000001,1
17,0.549,1
16,0.7363999999999999,1
15,0.7815,1
14,0.5882999999999999,1
13,0.5273,1
12,0.7029,1
11,0.7746000000000001,2
10,0.6728,1
9,0.36510000000000004,1
8,0.5784,1
7,0.31410000000000005,1
6,0.2389,1
5,0.3538,2
4,0.293,1
3,0.18930000000000002,1
2,0.1685,1
1,0.1668,2
0,0.21780000000000002,2
0,0.2756,1
0,0.2052,1
0,0.18080000000000002,1
0,0.2233,1
0,0.18669999999999998,2
0,0.1764,1
1,0.1757,1
2,0.193,2
3,0.21059999999999998,2
4,0.4737,1
5,0.5327000000000001,1
6,0.4327,2
7,0.4992,1
8,0.728,1
9,0.7511,1
10,0.5342,1
11,0.5202,2
12,0.4805,1
13,0.4978,1
14,0.7737,1
15,0.5799,1
16,0.5332,2
18,0.6845,1
19,0.999,1
20,0.8586,1
22,0.585,1
20,0.7444,1
19,0.4588,1
18,0.8508,1
17,0.4758,1
16,0.9073,2
15,0.7467,1
13,0.5296000000000001,1
12,0.424,1
11,0.9415,1
10,0.4794,1
9,0.3984,1
8,0.4995,1
7,0.2245,1
6,0.4855,1
5,0.5398999999999999,1
4,0.4928,1
1,0.1785,2
2,0.2127,1
3,0.1829,1
4,0.1884,1
5,0.2993,1
6,0.4127,2
