pacc,rt,accumulator
23,0.7877000000000001,1
22,0.694,1
21,0.6748,1
20,0.6397,1
19,0.5545,1
18,0.513,1
17,0.42960000000000004,1
16,0.5514,1
15,0.6103999999999999,1
14,0.6063,1
13,0.5795,1
12,0.6252000000000001,1
11,0.6608999999999999,1
10,0.853,2
9,0.643,1
8,0.5445,1
7,0.6087,1
6,0.1807,2
5,0.5206000000000001,1
4,0.4622,1
3,0.5472,1
2,0.1638,1
1,0.1986,2
0,0.189,1
0,0.19419999999999998,1
0,0.2226,2
1,0.2282,1
2,0.5403,1
3,0.5797,2
4,0.3388,2
5,0.626,1
6,0.4462,2
7,0.5055,2
8,0.5464,1
9,0.1985,2
10,0.1915,1
11,0.235,2
12,0.1815,1
13,0.2607,1
14,0.45039999999999997,2
15,0.44739999999999996,1
16,0.5298999999999999,1
17,0.5027,1
18,0.6108,1
19,0.649,1
20,0.6511,2
21,0.43060000000000004,1
22,0.6021,1
23,0.5161,2
24,0.5842,1
24,0.6491,1
24,0.4864,1
24,0.6393,1
24,0.3941,1
24,0.5452,1
23,0.6265,2
22,0.943,1
21,0.6329,1
20,0.43160000000000004,1
19,0.22180000000000002,2
18,0.315,2
17,0.317,2
16,0.4787,1
15,0.3318,2
14,0.5549,1
13,0.5067,1
12,0.4392,1
11,0.5247999999999999,1
10,0.2735,1
9,0.2083,1
8,0.1956,2
7,0.3762,1
6,0.39,2
5,0.38480000000000003,1
4,0.2509,2
3,0.2064,1
2,0.24780000000000002,1
1,0.3067,1
0,0.2033,2
0,0.181,2
0,0.18480000000000002,1
0,0.1721,1
0,0.2316,2
1,0.191,2
2,0.18680000000000002,2
3,0.2368,2
4,0.2117,2
5,0.2055,2
6,0.3655,1
7,0.202,2
8,0.2435,1
9,0.4313,1
10,0.3329,2
11,0.373,2
12,0.3855,2
13,0.3489,1
14,0.3989,1
15,0.3559,1
16,0.4982,2
17,0.5265,1
18,0.3707,2
19,0.2723,2
20,0.3698,2
21,0.3941,2
22,0.7384,1
23,0.7884,1
24,0.7155,1
24,0.5318999999999999,1
23,0.8533999999999999,1
22,0.6745,1
21,0.9295,1
20,0.8469,2
19,0.6591,1
18,0.5986,1
17,0.8931,1
15,0.6585,2
14,0.61,1
13,0.6966,1
12,0.52,1
11,0.5982000000000001,1
10,0.9334,2
9,0.3545,1
8,0.4786,1
7,0.467,1
6,0.7885,1
5,0.1743,1
4,0.2526,1
3,0.38139999999999996,1
2,0.2635,1
1,0.1982,1
0,0.21530000000000002,2
0,0.2302,1
0,0.3343,2
0,0.3822,2
0,0.2749,1
0,0.19469999999999998,1
0,0.2161,2
0,0.1668,2
0,0.45080000000000003,1
0,0.2333,2
0,0.2191,2
0,0.1891,1
0,0.3564,1
0,0.2166,1
0,0.2903,2
0,0.2165,1
0,0.19290000000000002,1
0,0.2091,1
0,0.18480000000000002,1
0,0.1865,1
1,0.19490000000000002,1
2,0.1886,2
3,0.1996,2
4,0.2622,1
5,0.198,2
6,0.1859,1
7,0.18930000000000002,1
8,0.21769999999999998,2
9,0.1876,2
10,0.24659999999999999,2
11,0.2399,2
12,0.19140000000000001,1
13,0.2545,1
14,0.2504,1
15,0.2597,1
16,0.4978,1
17,0.3742,1
18,0.2305,1
19,0.43539999999999995,1
20,0.3512,1
21,0.4186,2
22,0.38439999999999996,1
23,0.42069999999999996,2
24,0.4596,1
24,0.4875,1
24,0.5795,2
24,0.5405,2
24,0.5698,2
1,0.2092,1
2,0.2002,1
3,0.2022,2
4,0.1663,2
5,0.1656,1
6,0.16169999999999998,1
7,0.16469999999999999,1
8,0.36260000000000003,1
9,0.22440000000000002,2
10,0.2241,1
11,0.1951,1
12,0.2362,2
13,0.338,2
14,0.4709,1
15,0.6812,1
16,0.2519,1
17,0.3277,2
18,0.2602,1
19,0.7047,1
20,0.5065,1
21,0.434,1
22,0.433,1
23,0.393,1
24,0.4208,1
23,0.38980000000000004,1
22,0.3896,1
21,0.399,2
20,0.6021,1
19,0.5121,1
18,0.376,2
17,0.4784,1
15,0.4014,1
14,0.37289999999999995,2
13,0.43610000000000004,2
12,0.379,1
11,0.30789999999999995,1
10,0.2205,1
9,0.1712,2
8,0.3157,1
7,0.1686,1
6,0.3437,2
5,0.18830000000000002,1
4,0.1785,1
3,0.2508,1
2,0.30310000000000004,2
1,0.1809,2
0,0.2281,2
0,0.18669999999999998,2
0,0.1692,2
0,0.24380000000000002,2
0,0.1886,2
0,0.2294,1
0,0.3994,2
0,0.2928,2
0,0.2884,2
0,0.2223,1
0,0.2048,1
0,0.22069999999999998,1
0,0.168,1
0,0.2745,1
0,0.2238,1
0,0.2505,1
24,0.6195,1
23,0.593,2
22,0.4929,1
21,0.4075,1
20,0.8282999999999999,1
19,0.4644,1
18,0.45330000000000004,1
17,0.4729,1
16,0.48310000000000003,1
15,0.4789,1
14,0.3841,1
13,0.5067,2
12,0.3827,2
11,0.2596,1
10,0.185,1
9,0.1734,1
8,0.1752,1
7,0.2029,2
6,0.29969999999999997,1
5,0.15630000000000002,2
4,0.1712,2
3,0.19169999999999998,2
2,0.165,1
1,0.18359999999999999,2
2,0.19519999999999998,2
3,0.2553,1
4,0.2774,2
5,0.21919999999999998,1
6,0.2537,2
7,0.1851,2
8,0.2548,1
9,0.3446,2
10,0.1995,2
11,0.351,2
12,0.2144,2
13,0.22719999999999999,1
14,0.4065,2
15,0.2652,2
16,0.39339999999999997,2
17,0.2149,1
18,0.6445,1
19,0.8052,2
20,0.5876,1
21,0.5032,1
22,0.4757,1
23,0.4985,2
24,0.5401,2
24,0.731,1
24,0.563,1
24,0.9937999999999999,1
24,0.5691,1
23,0.472,1
22,0.7604,1
21,0.5933999999999999,1
20,0.4899,1
19,0.6487,1
18,0.845,1
17,0.5391,1
16,0.6332000000000001,1
15,0.3807,1
14,0.4011,1
13,0.557,1
12,0.554,1
11,0.4129,1
10,0.5462,1
9,0.4166,1
8,0.18769999999999998,1
7,0.177,1
6,0.2727,2
5,0.2073,2
4,0.18730000000000002,2
3,0.2455,2
2,0.42819999999999997,2
1,0.2905,2
0,0.22269999999999998,2
0,0.241,1
0,0.2037,2
0,0.1896,1
0,0.1799,2
0,0.19540000000000002,1
0,0.1661,2
1,0.4016,2
2,0.2032,1
3,0.1918,1
4,0.4595,2
5,0.1678,1
6,0.2556,2
8,0.2074,1
9,0.2012,1
10,0.1556,1
11,0.311,2
12,0.17980000000000002,2
13,0.30689999999999995,1
14,0.2003,1
15,0.3325,2
16,0.3128,1
17,0.5875,1
18,0.291,1
19,0.3855,2
20,0.7696000000000001,1
21,0.5119,1
22,0.4623,1
23,0.681,2
24,0.5507000000000001,1
24,0.4501,1
24,0.9153,1
24,0.6647000000000001,1
24,0.5606,1
23,0.489,1
22,0.5149,1
21,0.8709,1
20,0.6391,2
19,0.4603,1
18,0.31710000000000005,1
17,0.45039999999999997,1
16,0.48960000000000004,1
15,0.3065,2
14,0.3097,1
13,0.2898,1
12,0.4121,2
11,0.5187,1
10,0.4753,1
9,0.7205,1
8,0.7365,1
7,0.5686,1
6,0.21,2
5,0.1715,2
4,0.2341,1
3,0.2286,1
2,0.18480000000000002,2
3,0.31339999999999996,2
4,0.2374,1
5,0.18180000000000002,1
6,0.3618,1
7,0.2087,1
8,0.1623,2
9,0.38839999999999997,2
10,0.3525,1
11,0.44889999999999997,2
12,0.3951,2
13,0.36369999999999997,1
14,0.4955,1
15,0.6141,1
16,0.4172,1
17,0.7551,2
18,0.8002999999999999,1
19,0.5085,1
20,0.30419999999999997,1
21,0.45480000000000004,2
22,0.5668,1
23,0.5882999999999999,1
24,0.4809,2
24,0.6982999999999999,1
24,0.512,1
24,0.4214,1
24,0.9555,1
24,0.9455,1
23,0.43310000000000004,1
22,0.2718,1
21,0.3103,1
20,0.3542,2
18,0.7062999999999999,2
17,0.4806,1
16,0.5127,1
15,0.39139999999999997,2
14,0.6006,1
13,0.4744,2
12,0.68,1
11,0.2363,2
10,0.15769999999999998,2
9,0.154,1
8,0.365,1
7,0.1804,2
6,0.2384,1
5,0.1979,1
4,0.2503,1
3,0.43,2
2,0.2422,1
1,0.2835,1
1,0.1913,2
2,0.2294,2
3,0.2092,1
4,0.2511,2
5,0.41919999999999996,1
6,0.2293,2
7,0.1904,1
8,0.19640000000000002,1
9,0.1606,2
10,0.2799,1
11,0.1656,2
12,0.29919999999999997,1
13,0.3152,1
14,0.4977,1
15,0.4703,1
16,0.426,1
17,0.3427,1
16,0.3153,2
15,0.4767,1
14,0.5285,1
13,0.5522,2
12,0.5143,2
11,0.3217,2
10,0.2817,2
9,0.195,1
8,0.256,1
7,0.1782,2
6,0.18259999999999998,1
5,0.1765,1
6,0.1707,1
7,0.1646,2
8,0.2511,1
9,0.25930000000000003,2
10,0.29610000000000003,1
11,0.4094,1
12,0.2,1
13,0.1743,1
14,0.299,2
15,0.4639,1
16,0.3946,1
17,0.26280000000000003,1
18,0.42,2
19,0.3959,2
20,0.21480000000000002,1
21,0.2803,1
22,0.49069999999999997,2
24,0.9067999999999999,1
24,0.8747999999999999,1
24,0.49310000000000004,1
24,0.5698,1
22,0.3559,1
21,0.3287,1
20,0.4811,1
19,0.3281,1
18,0.3319,1
17,0.43910000000000005,1
16,0.388,1
15,0.4002,1
14,0.4546,1
13,0.309,1
12,0.30319999999999997,1
11,0.2147,1
