pacc,rt,accumulator
1,0.2328,2
2,0.233,2
3,0.2537,1
4,0.305,2
5,0.1734,2
6,0.1771,2
7,0.1719,1
9,0.2021,1
10,0.4009,1
11,0.3423,2
12,0.5659,1
13,0.3733,1
14,0.3529,1
15,0.4839,1
16,0.38530000000000003,1
15,0.4117,1
14,0.44410000000000005,2
13,0.4573,1
12,0.5766,1
11,0.36460000000000004,2
10,0.2235,1
9,0.21530000000000002,1
8,0.2315,1
7,0.183,1
6,0.2022,1
7,0.1933,2
8,0.2605,2
9,0.2033,1
10,0.2015,2
11,0.3595,1
12,0.4094,1
13,0.5819,1
14,0.5413,2
15,0.5098,1
16,0.4408,1
17,0.4655,2
18,0.5111,1
19,0.42769999999999997,1
20,0.4162,1
21,0.3953,1
22,0.6805,1
21,0.5829,1
20,0.7891,1
19,0.4963,1
18,0.4168,1
17,0.5908,1
16,0.5367000000000001,2
15,0.49510000000000004,2
14,0.5695,1
13,0.4668,1
12,0.415,1
11,0.4293,1
10,0.4233,1
9,0.2211,1
8,0.186,1
7,0.18280000000000002,1
6,0.1968,1
5,0.1977,1
6,0.19390000000000002,1
7,0.1998,2
8,0.18419999999999997,1
9,0.15580000000000002,2
10,0.1738,2
11,0.3986,1
12,0.4134,1
13,0.3537,1
14,0.351,1
15,0.5061,1
14,0.4137,1
13,0.3488,1
12,0.3787,1
11,0.39130000000000004,1
10,0.4213,1
9,0.194,1
8,0.2052,1
7,0.1972,2
6,0.3518,1
5,0.2095,1
4,0.2171,2
3,0.2149,1
2,0.1727,1
1,0.2241,2
2,0.205,1
3,0.26380000000000003,2
4,0.1846,2
5,0.1998,1
6,0.21480000000000002,2
7,0.18180000000000002,2
8,0.2009,1
9,0.174,2
10,0.3996,1
11,0.4002,1
12,0.3419,1
13,0.3524,1
14,0.44580000000000003,1
13,0.3346,2
12,0.4357,1
11,0.4151,1
10,0.3346,1
9,0.3468,1
8,0.18769999999999998,2
7,0.19240000000000002,2
6,0.1926,2
5,0.1804,1
4,0.182,1
5,0.202,2
6,0.1889,1
7,0.2057,2
8,0.18309999999999998,1
9,0.1802,2
10,0.2002,1
11,0.44110000000000005,1
12,0.4164,1
13,0.42860000000000004,1
14,0.3231,1
15,0.3979,2
16,0.3261,1
17,0.2965,1
18,0.5201,1
19,0.3314,2
20,0.5719,2
21,0.4977,1
22,0.43010000000000004,2
23,0.4752,1
24,0.4235,1
24,0.48760000000000003,1
24,0.4325,1
24,0.36360000000000003,1
23,0.4115,1
22,0.3585,1
21,0.4173,1
20,0.3981,1
19,0.48169999999999996,1
18,0.5161,1
17,0.5444,1
16,0.4033,1
15,0.5245,1
14,0.376,1
13,0.4129,1
12,0.387,1
11,0.3434,2
10,0.4186,1
9,0.1876,1
8,0.2022,1
7,0.1835,1
6,0.219,1
5,0.1656,2
6,0.36889999999999995,2
7,0.18180000000000002,2
8,0.2043,2
9,0.3177,1
10,0.2419,1
11,0.325,2
12,0.4568,2
13,0.5414,1
14,0.4635,2
15,0.5993999999999999,1
16,0.43210000000000004,1
17,0.8017000000000001,2
18,0.4752,1
19,0.7719,1
20,0.6111,1
21,0.3404,1
22,0.4375,1
21,0.3897,1
20,0.3861,2
19,0.6446000000000001,2
18,0.6768,1
17,0.4036,1
16,0.42669999999999997,2
15,0.5207999999999999,1
14,0.5942999999999999,1
13,0.701,2
12,0.469,1
11,0.4106,2
10,0.5189,2
9,0.6748,1
8,0.36319999999999997,2
7,0.5747000000000001,1
6,0.2368,1
5,0.2056,1
4,0.4315,2
3,0.2544,1
2,0.26339999999999997,2
1,0.1837,2
0,0.1795,1
0,0.2424,1
0,0.22069999999999998,1
0,0.2486,1
1,0.2396,1
2,0.3595,1
3,0.2046,1
4,0.2176,2
5,0.2627,1
6,0.1764,2
7,0.224,1
8,0.2127,2
9,0.3506,2
10,0.4199,2
11,0.8717,1
12,0.4007,1
13,0.4338,2
14,0.4304,1
15,0.5644,1
16,0.5636,1
17,0.5173,1
18,0.444,1
17,0.4046,1
16,0.5281,2
15,0.586,2
14,0.7742,1
13,0.5237,1
12,0.5671,1
11,0.49389999999999995,1
10,0.3439,2
9,0.43889999999999996,1
8,0.4746,1
7,0.18030000000000002,2
6,0.2065,2
5,0.2164,1
4,0.2246,1
3,0.196,1
4,0.7223999999999999,1
23,0.6992,2
22,0.5465,2
21,0.5016,1
20,0.4728,1
19,0.4475,1
18,0.5237,1
17,0.4777,1
16,0.4845,1
15,0.49389999999999995,1
14,0.3127,1
13,0.37060000000000004,2
12,0.5858,1
11,0.31,2
10,0.3008,2
9,0.44589999999999996,1
8,0.37360000000000004,1
7,0.42069999999999996,1
6,0.186,1
5,0.2087,1
3,0.22030000000000002,2
2,0.21130000000000002,2
3,0.3063,1
4,0.2095,2
5,0.2847,1
6,0.21230000000000002,2
7,0.22569999999999998,1
8,0.2948,2
9,0.2909,2
10,0.43889999999999996,2
11,0.4671,2
12,0.42710000000000004,1
13,0.4456,1
14,0.4054,2
15,0.4993,1
16,0.8713,2
17,0.7243999999999999,2
18,0.4546,1
19,0.6055,1
20,0.9267000000000001,1
21,0.4385,1
23,0.5187999999999999,1
22,0.5973999999999999,1
21,0.5256000000000001,1
20,0.5063,1
19,0.425,1
18,0.37389999999999995,1
17,0.458,1
16,0.3983,1
15,0.42169999999999996,1
14,0.4783,1
13,0.49789999999999995,2
12,0.43939999999999996,1
11,0.437,2
10,0.6771,1
9,0.6827000000000001,1
8,0.4546,1
7,0.4203,1
6,0.38880000000000003,1
5,0.3976,1
4,0.3014,2
3,0.3842,1
2,0.3272,1
1,0.3227,2
0,0.1711,1
0,0.1746,1
0,0.211,1
0,0.1646,1
0,0.229,2
1,0.4109,2
2,0.2797,1
3,0.3008,1
4,0.3396,1
5,0.2958,2
6,0.38930000000000003,2
7,0.44639999999999996,1
8,0.4437,1
9,0.2368,1
10,0.37189999999999995,1
11,0.2717,1
12,0.2314,1
13,0.3563,1
14,0.32239999999999996,1
15,0.3349,2
16,0.49660000000000004,2
17,0.4169,1
18,0.5494,1
19,0.5133,1
20,0.4442,1
21,0.8526,1
22,0.474,1
21,0.443,1
20,0.4802,1
19,0.6731,1
18,0.4632,1
17,0.42719999999999997,1
16,0.5487000000000001,2
15,0.437,1
14,0.5958,1
13,0.5881000000000001,2
12,0.4097,1
11,0.2055,2
10,0.3035,1
9,0.2019,2
8,0.2048,2
7,0.4353,2
6,0.43239999999999995,1
5,0.31839999999999996,2
4,0.5008,1
3,0.1997,1
2,0.1635,2
1,0.2743,2
0,0.204,2
0,0.1711,1
0,0.2147,1
0,0.1779,1
0,0.2047,2
1,0.18780000000000002,2
2,0.1849,1
3,0.19340000000000002,2
4,0.19569999999999999,1
5,0.16490000000000002,1
6,0.2291,1
7,0.22790000000000002,2
8,0.407,1
9,0.4021,2
10,0.21830000000000002,1
11,0.2284,1
12,0.2974,1
13,0.37410000000000004,1
14,0.3356,2
15,0.4428,1
16,0.4285,1
17,0.652,2
18,0.416,1
19,0.4683,1
20,0.3788,1
21,0.39330000000000004,2
22,0.4589,1
23,0.5341,1
24,0.504,1
24,0.4512,1
24,0.4733,1
24,0.5205,1
23,0.5541,1
22,0.4786,1
21,0.4599,1
20,0.4684,1
19,0.4773,1
18,0.46,1
17,0.42769999999999997,1
16,0.44089999999999996,1
15,0.6197,1
14,0.4161,1
13,0.385,1
12,0.3499,1
11,0.42360000000000003,1
10,0.3468,1
9,0.3454,1
8,0.31010000000000004,2
7,0.3008,2
6,0.3882,2
5,0.30889999999999995,1
4,0.2144,1
3,0.2754,1
2,0.2515,1
1,0.25739999999999996,2
0,0.2273,2
0,0.1989,2
0,0.2251,2
0,0.2052,2
0,0.29860000000000003,1
0,0.2159,1
0,0.2383,2
0,0.1763,1
0,0.2303,1
0,0.2095,1
1,0.2845,2
2,0.1641,1
3,0.1814,2
4,0.24259999999999998,1
5,0.25889999999999996,1
6,0.3403,1
7,0.2789,1
8,0.3466,2
9,0.3541,2
10,0.2894,2
11,0.30260000000000004,1
12,0.5,1
13,0.34,1
14,0.3147,2
15,0.4748,1
16,0.4134,1
17,0.3539,1
18,0.329,2
19,0.5977,2
20,0.3964,1
21,0.3979,1
22,0.32439999999999997,1
23,0.4835,1
24,0.9329,1
23,0.3532,1
22,0.5905,2
21,0.44430000000000003,1
20,0.5133,1
19,0.5201,1
18,0.6186,2
17,0.5032,1
16,0.388,1
15,0.5605,1
14,0.4405,1
13,0.42969999999999997,1
12,0.45339999999999997,1
11,0.4804,1
10,0.5034,2
9,0.49310000000000004,1
8,0.2485,1
7,0.3973,1
6,0.1753,1
5,0.26589999999999997,2
4,0.1904,1
3,0.16390000000000002,2
2,0.1631,1
3,0.1802,2
5,0.21509999999999999,2
6,0.31930000000000003,1
7,0.3492,1
8,0.2943,1
9,0.31880000000000003,1
10,0.3005,1
11,0.6027,1
12,0.3625,1
13,0.38630000000000003,1
14,0.38780000000000003,1
15,0.5089,1
14,0.4635,1
13,0.3629,1
12,0.4412,1
11,0.4145,1
10,0.3805,2
9,0.4792,1
8,0.49960000000000004,2
7,0.277,2
6,0.2349,1
5,0.3575,2
4,0.157,1
3,0.21580000000000002,2
2,0.18730000000000002,2
1,0.1692,2
0,0.1799,1
1,0.1941,2
2,0.1923,2
3,0.2011,1
4,0.1727,1
5,0.24130000000000001,1
6,0.37810000000000005,2
7,0.3922,1
8,0.42119999999999996,1
9,0.3227,2
10,0.36810000000000004,1
11,0.4109,1
12,0.36939999999999995,2
13,0.4611,2
14,0.4577,1
15,0.4663,1
16,0.429,1
17,0.3735,1
18,0.4639,1
17,0.44689999999999996,1
16,0.4803,1
15,0.5385,1
14,0.4914,1
13,0.4113,1
12,0.3972,1
11,0.3535,2
10,0.4525,1
9,0.3517,1
8,0.356,1
7,0.32780000000000004,2
6,0.4156,1
5,0.2581,1
4,0.1849,2
3,0.1713,1
2,0.2016,2
1,0.1895,1
0,0.21309999999999998,1
1,0.21880000000000002,2
2,0.1434,1
3,0.191,2
4,0.1918,2
5,0.2027,1
6,0.1943,2
7,0.2336,1
8,0.2392,1
9,0.4165,2
10,0.4405,1
11,0.4445,1
12,0.3375,2
13,0.4681,1
14,0.482,2
15,0.3998,1
16,0.7202000000000001,1
17,0.45330000000000004,1
18,0.5114,2
19,0.5366000000000001,1
20,0.44010000000000005,1
21,0.43560000000000004,2
22,0.4161,1
23,0.4462,1
24,0.4632,1
24,0.5579,2
24,0.4629,1
24,0.7507999999999999,2
24,0.5711,2
24,0.6585,1
24,0.6367,1
24,0.5749,1
24,0.9007000000000001,1
23,0.4684,1
22,0.3931,1
21,0.3968,2
20,0.5071,1
19,0.5286000000000001,2
18,0.707,1
17,0.49739999999999995,1
16,0.7432000000000001,1
15,0.5626,1
14,0.4175,1
13,0.3447,2
12,0.6517000000000001,1
11,0.3545,1
10,0.4624,1
9,0.3537,1
8,0.21880000000000002,2
7,0.2287,2
6,0.3947,2
4,0.18530000000000002,1
3,0.2175,1
2,0.279,1
1,0.18830000000000002,2
0,0.174,1
0,0.1936,2
0,0.199,1
0,0.1707,1
1,0.1615,2
2,0.1325,1
3,0.3138,1
4,0.19619999999999999,1
5,0.18130000000000002,1
6,0.2011,1
7,0.18919999999999998,2
8,0.3245,2
9,0.2635,2
10,0.45089999999999997,2
11,0.3354,2
12,0.4885,1
13,0.4918,1
14,0.44289999999999996,1
15,0.4864,1
16,0.4115,1
15,0.4583,1
14,0.37610000000000005,2
13,0.4456,1
12,0.4021,1
11,0.3983,2
10,0.4224,1
9,0.3442,2
8,0.4142,1
7,0.1702,2
6,0.201,2
5,0.18330000000000002,1
4,0.1712,2
3,0.2043,1
4,0.2016,1
5,0.35,2
6,0.22219999999999998,2
7,0.3971,1
8,0.32889999999999997,1
9,0.377,1
10,0.4471,1
11,0.3659,1
10,0.4018,1
9,0.3579,1
8,0.31460000000000005,2
7,0.2084,1
